TimeMin,PickupCount
860.00 ,33.00 
17.00 ,75.00 
486.00 ,13.00 
300.00 ,5.00 
385.00 ,10.00 
639.00 ,37.00 
819.00 ,28.00 
883.00 ,35.00 
690.00 ,27.00 
68.00 ,95.00 
40.00 ,24.00 
442.00 ,22.00 
1077.00 ,69.00 
727.00 ,22.00 
800.00 ,34.00 
1396.00 ,79.00 
709.00 ,33.00 
148.00 ,7.00 
1072.00 ,19.00 
851.00 ,13.00 
1365.00 ,46.00 
1279.00 ,31.00 
863.00 ,38.00 
124.00 ,46.00 
1123.00 ,92.00 
633.00 ,35.00 
342.00 ,6.00 
381.00 ,8.00 
740.00 ,30.00 
1029.00 ,40.00 
1236.00 ,38.00 
1258.00 ,32.00 
198.00 ,8.00 
679.00 ,33.00 
198.00 ,8.00 
745.00 ,24.00 
4.00 ,58.00 
1260.00 ,25.00 
139.00 ,10.00 
94.00 ,10.00 
1061.00 ,42.00 
1080.00 ,58.00 
854.00 ,36.00 
1128.00 ,53.00 
108.00 ,62.00 
460.00 ,8.00 
501.00 ,13.00 
1001.00 ,46.00 
496.00 ,12.00 
1310.00 ,47.00 
522.00 ,18.00 
144.00 ,49.00 
921.00 ,46.00 
1174.00 ,74.00 
843.00 ,31.00 
385.00 ,7.00 
7.00 ,16.00 
1377.00 ,67.00 
416.00 ,15.00 
1326.00 ,33.00 
803.00 ,24.00 
327.00 ,6.00 
553.00 ,38.00 
1028.00 ,20.00 
765.00 ,43.00 
754.00 ,30.00 
932.00 ,49.00 
556.00 ,44.00 
68.00 ,22.00 
1218.00 ,53.00 
1382.00 ,43.00 
1109.00 ,56.00 
693.00 ,21.00 
1231.00 ,41.00 
683.00 ,12.00 
636.00 ,29.00 
511.00 ,15.00 
427.00 ,22.00 
985.00 ,73.00 
1358.00 ,48.00 
191.00 ,6.00 
794.00 ,34.00 
508.00 ,44.00 
967.00 ,39.00 
1372.00 ,45.00 
92.00 ,55.00 
206.00 ,6.00 
1065.00 ,66.00 
1312.00 ,49.00 
1033.00 ,37.00 
228.00 ,7.00 
178.00 ,10.00 
1225.00 ,47.00 
623.00 ,38.00 
1255.00 ,49.00 
1093.00 ,29.00 
1341.00 ,74.00 
142.00 ,5.00 
1047.00 ,42.00 
798.00 ,33.00 
43.00 ,16.00 
239.00 ,10.00 
743.00 ,37.00 
1226.00 ,49.00 
312.00 ,4.00 
118.00 ,14.00 
1281.00 ,40.00 
1058.00 ,46.00 
1422.00 ,30.00 
1090.00 ,57.00 
693.00 ,29.00 
1235.00 ,70.00 
1257.00 ,57.00 
365.00 ,8.00 
245.00 ,25.00 
1340.00 ,29.00 
1075.00 ,54.00 
492.00 ,40.00 
607.00 ,18.00 
184.00 ,51.00 
511.00 ,15.00 
231.00 ,12.00 
747.00 ,32.00 
215.00 ,5.00 
651.00 ,28.00 
1187.00 ,48.00 
745.00 ,19.00 
384.00 ,9.00 
1380.00 ,37.00 
655.00 ,23.00 
403.00 ,16.00 
149.00 ,19.00 
896.00 ,36.00 
107.00 ,9.00 
689.00 ,34.00 
407.00 ,18.00 
284.00 ,1.00 
227.00 ,51.00 
968.00 ,34.00 
805.00 ,29.00 
239.00 ,31.00 
211.00 ,8.00 
1154.00 ,41.00 
916.00 ,36.00 
999.00 ,50.00 
45.00 ,33.00 
529.00 ,38.00 
586.00 ,34.00 
926.00 ,26.00 
605.00 ,23.00 
477.00 ,44.00 
795.00 ,27.00 
82.00 ,20.00 
652.00 ,40.00 
1083.00 ,43.00 
496.00 ,10.00 
707.00 ,43.00 
728.00 ,29.00 
298.00 ,75.00 
1017.00 ,49.00 
520.00 ,39.00 
383.00 ,13.00 
356.00 ,9.00 
990.00 ,42.00 
730.00 ,37.00 
1106.00 ,81.00 
601.00 ,24.00 
524.00 ,47.00 
496.00 ,35.00 
361.00 ,6.00 
647.00 ,30.00 
1425.00 ,33.00 
251.00 ,7.00 
1438.00 ,19.00 
681.00 ,22.00 
814.00 ,29.00 
645.00 ,22.00 
957.00 ,25.00 
243.00 ,10.00 
468.00 ,31.00 
849.00 ,44.00 
68.00 ,17.00 
848.00 ,31.00 
662.00 ,29.00 
69.00 ,55.00 
567.00 ,25.00 
574.00 ,35.00 
491.00 ,7.00 
557.00 ,19.00 
504.00 ,5.00 
43.00 ,60.00 
816.00 ,31.00 
392.00 ,7.00 
81.00 ,26.00 
1026.00 ,54.00 
834.00 ,30.00 
483.00 ,15.00 
1065.00 ,47.00 
214.00 ,10.00 
262.00 ,8.00 
1424.00 ,19.00 
1021.00 ,44.00 
1002.00 ,61.00 
1317.00 ,21.00 
833.00 ,22.00 
1215.00 ,40.00 
287.00 ,2.00 
797.00 ,45.00 
989.00 ,51.00 
1282.00 ,43.00 
645.00 ,37.00 
499.00 ,36.00 
337.00 ,17.00 
1012.00 ,50.00 
160.00 ,17.00 
250.00 ,16.00 
151.00 ,3.00 
95.00 ,72.00 
1041.00 ,59.00 
1140.00 ,62.00 
1413.00 ,60.00 
620.00 ,33.00 
825.00 ,35.00 
543.00 ,40.00 
256.00 ,21.00 
52.00 ,21.00 
1077.00 ,49.00 
511.00 ,17.00 
486.00 ,13.00 
280.00 ,31.00 
388.00 ,10.00 
902.00 ,33.00 
1352.00 ,75.00 
507.00 ,41.00 
107.00 ,34.00 
942.00 ,66.00 
885.00 ,44.00 
469.00 ,13.00 
1428.00 ,65.00 
19.00 ,61.00 
1326.00 ,46.00 
1032.00 ,17.00 
1318.00 ,28.00 
1383.00 ,26.00 
882.00 ,41.00 
383.00 ,10.00 
1357.00 ,26.00 
1327.00 ,43.00 
495.00 ,19.00 
1338.00 ,50.00 